seqid	qlen	length	pident	mismatch	qstart	qend	sstart	send	gaps	evalue	taxonomy
7835;size=40;	617	610	99.344	3	8	617	657	1265	1	0.0	cellular organisms; Eukaryota; Haptista; Centroplasthelida; Meringosphaera; Meringosphaera mediterranea
7734;size=68;	745	201	89.055	20	545	745	814	1012	2	2.7e-60	cellular organisms; Eukaryota; Sar; Stramenopiles; Bigyra; Opalozoa; Placidida; Placidiaceae; Placidia; unclassified Placidia; Placidida sp.
7637;size=5;	801	486	97.531	4	1	486	350	827	8	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4659;size=10;	476	145	98.621	2	332	476	1	145	0	2.78e-63	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Magsaviricetes; Nodamuvirales; unclassified Nodamuvirales; Ripojast virus
10966;size=6;	686	157	96.815	3	530	686	750	904	2	3.1800000000000004e-64	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Suillineae; Suillaceae; Suillus; unclassified Suillus; Suillus sp.
2619;size=18;	568	577	88.562	43	1	568	1061	1623	23	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
925;size=9;	669	677	91.285	47	1	669	2772	3444	12	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Lepidodinium; Lepidodinium chlorophorum
3588;size=7;	655	141	94.326	8	509	649	1638	1778	0	6.64e-51	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3781;size=82;	738	366	92.623	19	373	738	694	1051	8	5.1299999999999996e-142	cellular organisms; Eukaryota; Sar; Stramenopiles; Developea; Developayellaceae; Develorapax; Develorapax marinus
6126;size=32;	810	198	85.354	25	614	810	92	286	4	2.3299999999999997e-46	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7064;size=34;	610	228	92.982	13	272	498	1209	1434	3	7.58e-85	cellular organisms; Eukaryota; Eukaryota incertae sedis; Picozoa; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas judraskeda
6956;size=9;	1087	164	94.512	9	924	1087	3426	3589	0	8.6e-62	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Zygnemophyceae; Spirogloeophycidae; Spirogloeales; Spirogloeaceae; Spirogloea; Spirogloea muscicola
610;size=5;	801	800	99.25	6	2	801	290	1089	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Collembola; Entomobryomorpha; Entomobryoidea; Entomobryidae; Heteromurinae; Heteromurus; Heteromurus nitidus
3773;size=7;	776	71	98.592	1	1	71	1095	1165	0	1.3799999999999998e-23	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5223;size=13;	685	311	98.071	1	375	685	660	965	5	4.71e-147	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Entomophthoromycotina; Entomophthoromycetes; Entomophthorales; Ancylistaceae; Conidiobolus; Conidiobolus coronatus
4766;size=7;	1046	310	87.419	29	740	1046	1216	1518	10	3.69e-90	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4048;size=3;	706	136	96.324	4	571	706	760	894	1	1.55e-52	cellular organisms; Eukaryota; Sar; Alveolata; Perkinsozoa; Parviluciferaceae; Tuberlatum; Tuberlatum coatsi
1425;size=301;	578	443	98.871	4	1	443	298	739	1	0.0	cellular organisms; Eukaryota; Sar; Rhizaria; Retaria; Acantharea; Arthracanthida; Phyllacantha; Phyllostauridae; Phyllostaurus; Phyllostaurus cuspidatus
4115;size=85;	678	345	79.42	47	346	678	863	1195	24	1.48e-52	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Euteleosteomorpha; Neoteleostei; Eurypterygia; Ctenosquamata; Acanthomorphata; Euacanthomorphacea; Percomorphaceae; Carangaria; Carangiformes; Carangidae; Trachinotus; Trachinotus blochii
5007;size=135;	1148	304	82.895	39	423	717	1179	1478	13	1.51e-64	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Leotiomycetes; Erysiphales; Erysiphaceae; Pleochaeta; Pleochaeta polychaeta
8022;size=26;	855	311	98.714	3	21	331	1	310	1	2.12e-151	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Oithonidae; Oithona; Oithona pulla
5992;size=9;	691	91	91.209	8	1	91	336	426	0	4.38e-23	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
11625;size=12;	738	739	98.782	7	1	738	1195	1932	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7211;size=6;	777	789	84.411	100	1	777	226	1003	23	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Rhipidiales; Rhipidiaceae; Rhipidium; Rhipidium interruptum
763;size=6;	589	507	98.817	5	83	589	413	918	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Trichosporonales; Trichosporonaceae; Cutaneotrichosporon; Cutaneotrichosporon mucoides
7161;size=617;	1047	532	96.429	16	518	1047	213	743	3	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
2456;size=4;	1060	106	93.396	5	575	680	1627	1524	2	2.4300000000000002e-32	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8116;size=53;	782	782	99.744	2	1	782	351	1132	0	0.0	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Glissomonadida; Viridiraptoridae; Bodomorpha; Bodomorpha minima
4948;size=3;	676	343	93.878	7	336	676	1405	1735	14	1.31e-137	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
6254;size=6428;	1238	605	99.835	1	633	1237	872	268	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Clausocalanidae; Clausocalanus; Clausocalanus furcatus
10767;size=32;	691	309	85.761	26	383	691	3330	3620	18	3.1300000000000003e-79	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Chromerida sp. RM11
5034;size=20;	701	69	97.101	2	2	70	2444	2512	0	7.44e-21	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Amoebophryaceae; Amoebophrya; unclassified Amoebophrya; Amoebophrya sp. ex Gymnodinium instriatum
11422;size=11;	474	175	98.857	2	21	195	1	175	0	5.83e-80	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Oithonidae; Oithona; Oithona pulla
5038;size=3;	685	167	94.012	8	520	685	762	927	2	1.91e-61	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Margalefidinium; Margalefidinium fulvescens
3634;size=5;	697	315	83.175	44	385	697	735	1042	9	8.920000000000001e-70	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Stephanoecidae; Didymoeca; Didymoeca costata
4133;size=19;	848	348	83.333	32	515	848	606	941	26	3.03e-75	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Granofilosea; Mesofilidae; Mesofila; Mesofila limnetica
2175;size=247;	499	499	98.196	9	1	499	233	731	0	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
4868;size=8;	763	234	98.718	3	1	234	287	520	0	7.17e-111	cellular organisms; Eukaryota; Sar; Rhizaria; Retaria; Acantharea; Arthracanthida; Sphaenacanthida; Acanthometridae; Acanthometra; Acanthometra pellucida
2086;size=30;	841	354	100.0	0	485	838	1	354	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Oligostraca; Ostracoda; unclassified Ostracoda; environmental samples; ostracod environmental sample
481;size=27;	662	665	93.835	38	1	662	2685	3349	3	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Paragymnodinium; Paragymnodinium shiwhaense
6955;size=256;	691	191	93.717	12	501	691	2135	2325	0	5.28e-72	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2932;size=12;	595	596	91.946	32	1	595	1007	1587	16	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2302;size=11;	699	195	96.923	5	505	699	1364	1557	1	1.13e-83	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7519;size=21;	835	359	89.972	25	479	835	1770	2119	11	6.01e-122	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12819;size=14;	1304	676	99.556	3	1	676	1167	1842	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11987;size=5;	482	113	95.575	3	343	455	594	704	2	6.2799999999999995e-40	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Nematoda; Chromadorea; Araeolaimida; Axonolaimoidea; Comesomatidae; Sabatieria; unclassified Sabatieria; Sabatieria sp. E31
4711;size=956;	491	166	92.169	13	326	491	375	540	0	1.35e-56	cellular organisms; Eukaryota; Sar; Stramenopiles; environmental samples; uncultured stramenopile
9137;size=6;	667	403	95.037	14	1	403	2779	3175	6	7.34e-175	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophlyctidales; Rhizophlyctidaceae; Rhizophlyctis; Rhizophlyctis rosea
5024;size=289;	810	189	95.767	6	623	810	1389	1576	2	6.2e-77	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12784;size=12;	1061	323	93.808	16	379	700	1663	1982	4	9.829999999999999e-131	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
844;size=3;	726	203	91.626	15	525	726	1284	1485	2	9.31e-70	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11630;size=3;	985	164	93.902	9	822	985	888	1050	1	1.3e-59	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Acari; Acariformes; Trombidiformes; Prostigmata; Eupodina; Eupodoidea; Eupodidae; Eupodes; Eupodes voxencollinus
3347;size=2628;	491	166	92.169	13	326	491	375	540	0	1.35e-56	cellular organisms; Eukaryota; Sar; Stramenopiles; environmental samples; uncultured stramenopile
9606;size=195;	492	166	92.169	13	327	492	375	540	0	1.35e-56	cellular organisms; Eukaryota; Sar; Stramenopiles; environmental samples; uncultured stramenopile
5412;size=17;	589	589	97.114	17	1	589	296	884	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Cryptococcaceae; Kwoniella; unclassified Kwoniella; Kwoniella sp.
8997;size=6;	658	310	86.774	31	352	658	577	879	10	4.91e-87	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Coleochaetophyceae; Coleochaetales; Coleochaetaceae; Coleochaete; Coleochaete scutata
491;size=304;	487	157	92.994	9	332	487	1014	1169	2	2.24e-54	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia; Lucinida; Lucinoidea; Lucinidae; Cavatidens; Cavatidens omissa
10269;size=24;	562	294	98.98	3	261	554	1	294	0	2.3000000000000003e-144	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Heterorhabdidae; Heterorhabdus; Heterorhabdus norvegicus
9991;size=114;	775	779	94.608	33	1	775	2399	3172	9	0.0	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp.
3049;size=48;	786	752	97.872	15	4	755	297	1047	1	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Hyphochytriomycetes; Rhizidiomycetaceae; Rhizidiomyces; Rhizidiomyces hirsutus
2626;size=33;	806	205	98.049	3	603	806	1579	1783	1	1.68e-92	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4120;size=4;	814	828	92.754	46	1	814	1019	1846	14	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2929;size=9;	670	352	84.659	41	326	670	1003	1348	13	1.39e-87	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1180;size=6;	792	373	90.617	23	420	792	1553	1913	12	2.01e-131	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3127;size=12;	627	338	89.053	23	293	627	1805	2131	14	3.5e-108	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5355;size=45;	508	76	97.368	2	1	76	355	430	0	6.79e-25	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Monomastigales; Monomastigaceae; Monomastix; Monomastix minuta
5843;size=46;	630	314	87.58	37	318	630	614	926	2	7.729999999999999e-95	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Vitrellaceae; Piridium; Piridium sociabile
12604;size=10;	788	357	87.395	29	434	788	1941	2283	16	9.66e-105	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4511;size=132;	694	304	88.487	26	397	694	456	756	9	1.11e-93	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Hypotrichia; environmental samples; uncultured Hypotrichia
2602;size=47;	647	70	97.143	2	2	71	335	404	0	1.9000000000000003e-21	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
10888;size=63;	744	748	91.176	48	1	744	1202	1935	18	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4020;size=28;	729	155	96.774	5	575	729	914	1068	0	1.22e-63	cellular organisms; Eukaryota; Eukaryota incertae sedis; Telonemida; Telonema; Telonema subtile
12419;size=13;	718	364	94.505	17	357	718	656	1018	3	1.06e-153	cellular organisms; Eukaryota; Haptista; Centroplasthelida; Pterocystida; Pterista; Pterocystidae; Chlamydaster; Chlamydaster sterni
7047;size=12;	596	299	100.0	0	298	596	1612	1910	0	4.04e-152	cellular organisms; Eukaryota; Amoebozoa; Tubulinea; Echinamoebida; Vermamoeba; Vermamoeba vermiformis
4651;size=21;	726	167	88.623	17	561	726	773	938	2	2.07e-46	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Urostylida; Urostylidae; Apobakuella; Apobakuella fusca
3517;size=8;	546	148	99.324	0	1	148	365	511	1	5.360000000000001e-66	cellular organisms; Eukaryota; Haptista; Centroplasthelida; Meringosphaera; Meringosphaera mediterranea
6839;size=3;	894	346	89.306	26	553	894	1559	1897	11	5.06e-113	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8120;size=6;	791	74	98.649	0	1	74	1033	1105	1	1.09e-24	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2489;size=9;	762	68	100.0	0	1	68	1313	1380	0	1.35e-23	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9008;size=7;	874	319	91.223	26	556	874	1	317	2	8.21e-116	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1235;size=47;	1083	210	88.571	15	879	1083	507	712	9	1.4300000000000001e-59	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Morchellaceae; Morchella; unclassified Morchella; Morchella sp.
